TESTEMUNHO,Amostra,Acanthoica spp.,B. bigelowii,C. cristatus,C. cristatus HET,C.telesmus,C. simplex,Ceratolithus spp.,Ceratolithus TOTAL,C. quadriperforatus (>8µm),C. leptoporus G (>5µm),C. leptoporus M (5<x<8),C. leptoporus P (<5µm),Calcididcus spp.,Calcidiscus TOTAL,C. murrayi,C. brasiliensis,Calciosolenia spp.,Calciosolenia TOTAL,C. pel. pelagicus,C. pelagicus braarudii,C. pelagicus,Coccolithus TOTAL,C. binodata,C. mediterranae,Coronosphaera spp.,Coronosphaera TOTAL,D. tubifera,E. huxleyi G,E. huxleyi M,E. huxleyi P,E. huxleyi spp.,E. huxleyi TOTAL,F. profunda,G.oceanica G,G. oceanica M,G. oceanica fechada,G. oceanica INTER,G. oceanica P,G. paralela G,G. paralela M,G.carib G,G. carib M,G. carib aberta,G. carib INTER,G. carib P,G. muellerae,G. ericsonii,G. sinuosa 1,G. sinuosa 2,G. sinuosa spp.,G. sinuosa TOTAL,G. aperta 1,G. aperta 2,G. aperta spp.,G. aperta TOTAL,Geph. spp. G,Geph. spp. M,Geph. spp. P,Gephyrocapsa P,Gephyrocapsa M,Gephyrocapsa G,Gephyrocapsa Total,Hayaster spp.,H. carteri,H. hyalina,H. wallichii,H. inversa,H. pavimentum,H. sellii,Helicosphaera spp.,Helicosphaera TOTAL,H. macroporus,Neosphaera spp,Oolithotus spp.,P. discopora,P.indoceanica,P.syracusana,P. multipora,P. japonica,P.jonesii,P. messinae,Pontosphaera spp.,Pontosphaera TOTAL,P. lacunosa,P. ovata,Pseudoemiliania TOTAL,R. minuta,R. minutula,R. producta,Reticulofenestra spp. (>5µm),Reticulofenestra spp.(<5µm),Reticulofenestra TOTAL,R. clavigera,R. stylifera,Rhabd. spp.,Rhabdosphaera TOTAL,S. recta,S. apsteinii,S. porosa,Scyphosphaera spp.,Scyphosphaera TOTAL,S. hystrica,S. anthos,S. pulchra,S. lamina,Syrac. spp.,Syracosphaera TOTAL,T. quadrilaminata,T. saxea,T. heimii,Thorac. spp.,Thoracosphaera TOTAL,T. saxea (frag.),T. heimii (frag.),U. irregularis,U. tenuis,Umbellosphaera spp.,Umbellosphaera TOTAL,U.sibogae,U. foliosa,U. jafari,U. hulburtiana,Umbilicosphaera spp.,Umbilicosphaera TOTAL,PMP,TOTAL
KF-16,0,0,0,0,0,0,0,0,0,0,0,0,1.1100000000000001,0,1.1100000000000001,0,1.3899999999999999,0,1.3899999999999999,0,0,0,0,0,0.28000000000000003,0,0.28000000000000003,0,0,24.23,0,0,24.23,14.76,0,5.29,0,0,1.3899999999999999,0,0,0,3.0600000000000001,0,0,11.42,0,0,0,0,0,0.28000000000000003,0,0,0,0,0,0.56000000000000005,4.1799999999999997,17.27,8.9100000000000001,0,26.18,0,0.28000000000000003,0.83999999999999997,0.28000000000000003,0,0,0,0,1.3899999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28000000000000003,0,0,0,0,0.28000000000000003,1.6699999999999999,0,0,1.6699999999999999,0,0,0.28000000000000003,0,0.28000000000000003,0,0,3.3399999999999999,0,0.83999999999999997,4.1799999999999997,0,0,0,0,0,0,0.56000000000000005,3.0600000000000001,1.95,0.56000000000000005,5.5700000000000003,13.369999999999999,0,0,0.28000000000000003,0,13.65,5.0099999999999998,100
KF-16,10,0.12,0,0,0.12,0,0,0,0.12,0,0,1.6200000000000001,0.25,0,1.8700000000000001,0,1.24,0,1.24,0,0,0,0,0,0.12,0.12,0.25,1.24,0,31.719999999999999,0,0,31.719999999999999,20.649999999999999,0,9.8300000000000001,0,0,2.6099999999999999,0,0,0,0.62,0,0,1.6200000000000001,0,0.37,0,0,0,0.12,0,0,0,0,0,0,6.4699999999999998,11.19,10.449999999999999,0,21.640000000000001,0,0.75,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.12,0.12,0,0,0,0,0,0,0,0,0,2.7400000000000002,0.5,0,3.23,0,0.12,0,0,0.12,0,0,2.1099999999999999,0.25,0,2.3599999999999999,0.25,0,0,0,0,0,0,0.5,2.7400000000000002,0.5,3.73,8.8300000000000001,0.25,0,0.5,0.12,9.6999999999999993,0.62,100
KF-16,20,0,0,0,0.25,0,0,0,0.25,0,0,0.48999999999999999,0,0,0.48999999999999999,0,0.73999999999999999,0,0.73999999999999999,0,0,0,0,0,0.48999999999999999,0,0.48999999999999999,0.73999999999999999,0,38.670000000000002,0,0,38.670000000000002,23.149999999999999,0.25,0.73999999999999999,0,0,0,0,0,0,4.4299999999999997,0,0,6.4000000000000004,0,0.25,0.73999999999999999,3.2000000000000002,0,3.9399999999999999,0.25,0,0,0.25,0,0.73999999999999999,2.46,13.300000000000001,5.9100000000000001,0.25,19.460000000000001,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48999999999999999,0.25,0,0.73999999999999999,0,0,0,0,0,0,0,1.97,0,0,1.97,0,0,0,0,0,0.25,0,1.72,2.46,0,4.1900000000000004,3.9399999999999999,0,0,0,0,3.9399999999999999,4.9299999999999997,100
KF-16,30,0,0,0,0,0,0,0,0,0,0,0,1.9099999999999999,0,1.9099999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.850000000000001,0,0,18.850000000000001,18.620000000000001,0,9.5500000000000007,0,0,7.6399999999999997,0,0,0,8.8300000000000001,0,0,10.74,0.71999999999999997,0.71999999999999997,0,0,0,0.71999999999999997,0.23999999999999999,0.47999999999999998,0,0.71999999999999997,0,1.9099999999999999,4.7699999999999996,25.300000000000001,21,0,46.299999999999997,0.23999999999999999,0.71999999999999997,0,0,0,0,0,0,0.71999999999999997,0,0,0.23999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1000000000000001,0.47999999999999998,0,3.5800000000000001,0,0,0,0,0,0,0,2.3900000000000001,0.23999999999999999,0.23999999999999999,2.8599999999999999,0,0,0,0,0,0,0,0.23999999999999999,1.6699999999999999,0,1.9099999999999999,3.8199999999999998,0,0,0,0,3.8199999999999998,0.94999999999999996,100
KF-16,40,0,0,0,0,0,0,0,0,0,0,0.73999999999999999,0.48999999999999999,0,1.23,0,1.98,0,1.98,0,0,0,0,0,0.98999999999999999,0,0.98999999999999999,0,0,21.73,0,0,21.73,18.02,0,7.6500000000000004,0,0,1.48,0,0,0.25,3.46,0,0,12.59,0,0.25,0,0,0,0.25,0,0,0,0.98999999999999999,0,0.48999999999999999,15.31,30.859999999999999,11.6,0.25,42.719999999999999,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,3.7000000000000002,0,0.48999999999999999,4.2000000000000002,0,0,0,0,0,0,0,3.7000000000000002,0,0,3.7000000000000002,0.25,0,0,0,0,0,0.48999999999999999,0.25,0.48999999999999999,0,0.73999999999999999,2.7200000000000002,0.25,0,0,0,2.96,0.98999999999999999,100
KF-16,50,0,0,0,0.19,0,0,0,0.19,0,0,1.3600000000000001,0,0,1.3600000000000001,0,0.78000000000000003,0,0.78000000000000003,0,0,0,0,0,0.19,0,0.19,0,0.39000000000000001,26.800000000000001,0,0,27.18,27.18,0,19.609999999999999,0,0,3.1099999999999999,0,0,0.19,0.39000000000000001,0,0,2.9100000000000001,0,0.78000000000000003,0,0,0,0.78000000000000003,0,0,0,0.96999999999999997,0,0.19,6.21,14.76,20.190000000000001,0.19,35.149999999999999,0,0.19,0,0,0,0,0,0.19,0.39000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.19,1.55,0,0,1.55,0,0,0,0,0,0,0,2.3300000000000001,0,0,2.3300000000000001,0,0,0,0,0,0,0,0.19,0.57999999999999996,0,0.78000000000000003,1.9399999999999999,0.19,0,0.19,0,2.3300000000000001,0.39000000000000001,100
KF-16,60,0,0,0,0,0,0,0,0,0,0,0.60999999999999999,0.20000000000000001,0,0.81000000000000005,0,0.20000000000000001,0,0.20000000000000001,0,0,0,0,0,0.20000000000000001,0,0.20000000000000001,0.81000000000000005,0,24.190000000000001,0,0,24.190000000000001,28.859999999999999,0,1.4199999999999999,0,0,0,0,0,0,5.8899999999999997,0,0,9.9600000000000009,1.4199999999999999,0.20000000000000001,0.81000000000000005,2.6400000000000001,0,3.46,1.02,0,0,1.02,0,0.60999999999999999,8.3300000000000001,22.969999999999999,9.3499999999999996,0,32.32,0,0,0,0,0,0,0,0.40999999999999998,0.40999999999999998,0,0,0.20000000000000001,0,0,0,0,0,0,0,0.20000000000000001,0.20000000000000001,0,0,0,0,0,0,0,0,0,1.4199999999999999,0.20000000000000001,0.40999999999999998,2.0299999999999998,0,0,0,0,0,0,0,2.2400000000000002,0,0.60999999999999999,2.8500000000000001,0,0,0,0,0,0.20000000000000001,0,1.22,0.40999999999999998,0.20000000000000001,1.8300000000000001,0.81000000000000005,0,0,0,0,0.81000000000000005,4.2699999999999996,100
KF-16,70,0,0,0,0.27000000000000002,0,0,0,0.27000000000000002,0,0,0.55000000000000004,0,0,0.55000000000000004,0.27000000000000002,0.55000000000000004,0,0.81999999999999995,0,0,0,0,0,0,0,0,0,0,11.199999999999999,0,0,11.199999999999999,15.029999999999999,0,14.75,0,0,3.2799999999999998,0,0,0,14.48,0,0,11.48,1.6399999999999999,0.27000000000000002,0.27000000000000002,0,0,0.27000000000000002,1.3700000000000001,0,0,1.3700000000000001,0,2.73,3.8300000000000001,20.489999999999998,33.609999999999999,0,54.100000000000001,0,0,0,0,0,0.81999999999999995,0,0,0.81999999999999995,0,0,0,0,0,0,0,0.27000000000000002,0,0,0.27000000000000002,0.55000000000000004,0,0,0,0,0,0,0,0.81999999999999995,0.81999999999999995,4.6399999999999997,0,0,4.6399999999999997,0,0,0,0,0,0,0,3.5499999999999998,0.27000000000000002,0.55000000000000004,4.3700000000000001,0,0,0,0,0,0.27000000000000002,0,0.81999999999999995,0.27000000000000002,0,1.0900000000000001,1.3700000000000001,0,0,0,0,1.3700000000000001,4.3700000000000001,100
KF-16,80,0,0,0,0,0,0,0.22,0.22,0,0,0.67000000000000004,0,0,0.67000000000000004,0,0.22,0,0.22,0,0,0,0,0,0.45000000000000001,0,0.45000000000000001,0,0,18.829999999999998,0,0,18.829999999999998,29.82,0,8.0700000000000003,0,0,0.45000000000000001,0,0,0,9.1899999999999995,0,0,8.9700000000000006,0.67000000000000004,0.45000000000000001,0,0,0,0,0,0,0,3.1400000000000001,0,0.90000000000000002,8.3000000000000007,21.300000000000001,18.829999999999998,0,40.130000000000003,0,0,0.45000000000000001,0,0,0,0,0.22,0.67000000000000004,0,0,0,0,0,0,0,0,0,0.22,0,0.22,0,0,0,0,0.22,0,0,0,0.22,1.3500000000000001,0,0.22,1.5700000000000001,0,0,0,0,0,0,0,3.5899999999999999,0.22,0,3.8100000000000001,0,0,0,0,0,0,0,0.22,0.90000000000000002,0,1.1200000000000001,0.90000000000000002,0,0,0,0,0.90000000000000002,1.1200000000000001,100
KF-16,91,0,0,0,0,0,0,0,0,0,0,2,0.20000000000000001,0,2.2000000000000002,0,0.20000000000000001,0,0.20000000000000001,0,0,0,0,0,0,0,0,0,0,21,0,0,21,35,0,15.6,0,0,1.3999999999999999,0,0,0,1.3999999999999999,0,0,3.7999999999999998,0,1.3999999999999999,0,0,0,0.59999999999999998,0,0,0,3.2000000000000002,0,1,5.7999999999999998,16.199999999999999,18,0,34.200000000000003,0,0,0,0.20000000000000001,0,0,0,0,0.20000000000000001,0,0,0,0,0,0,0,0,0,0,0.20000000000000001,0.20000000000000001,0,0,0,0.20000000000000001,0,0,0,0,0.20000000000000001,1.6000000000000001,0.20000000000000001,0,1.8,0,0,0,0,0,0.20000000000000001,0,2.3999999999999999,0,0,2.6000000000000001,0,0,0,0,0,0,0,0,0.40000000000000002,0,0.40000000000000002,1.2,0,0,0.20000000000000001,0,1.3999999999999999,0.59999999999999998,100
